ticker,name,market,source,sector
294870.KS,IPARK현대산업개발,KOSPI,naver_kospi,
181710.KS,NHN,KOSPI,naver_kospi,
077970.KS,STX엔진,KOSPI,naver_kospi,
012630.KS,HDC,KOSPI,naver_kospi,
003530.KS,한화투자증권,KOSPI,naver_kospi,
030610.KS,교보증권,KOSPI,naver_kospi,
004000.KS,롯데정밀화학,KOSPI,naver_kospi,
495050.KS,RISE 코리아밸류업,KOSPI,naver_kospi,
082640.KS,동양생명,KOSPI,naver_kospi,
415640.KS,KB발해인프라,KOSPI,naver_kospi,
000080.KS,하이트진로,KOSPI,naver_kospi,
000210.KS,DL,KOSPI,naver_kospi,
089860.KS,롯데렌탈,KOSPI,naver_kospi,
300720.KS,한일시멘트,KOSPI,naver_kospi,
003240.KS,태광산업,KOSPI,naver_kospi,
003090.KS,대웅,KOSPI,naver_kospi,
367760.KS,RISE 네트워크인프라,KOSPI,naver_kospi,
479520.KS,RISE KOFR금리액티브(합성),KOSPI,naver_kospi,
280360.KS,롯데웰푸드,KOSPI,naver_kospi,
009450.KS,경동나비엔,KOSPI,naver_kospi,
005300.KS,롯데칠성,KOSPI,naver_kospi,
100090.KS,SK오션플랜트,KOSPI,naver_kospi,
185750.KS,종근당,KOSPI,naver_kospi,
057050.KS,현대홈쇼핑,KOSPI,naver_kospi,
003470.KS,유안타증권,KOSPI,naver_kospi,
499790.KS,GS피앤엘,KOSPI,naver_kospi,
441800.KS,TIME Korea플러스배당액티브,KOSPI,naver_kospi,
456040.KS,OCI,KOSPI,naver_kospi,
475720.KS,RISE 200위클리커버드콜,KOSPI,naver_kospi,
192400.KS,쿠쿠홀딩스,KOSPI,naver_kospi,
385560.KS,RISE KIS국고채30년Enhanced,KOSPI,naver_kospi,
248070.KS,솔루엠,KOSPI,naver_kospi,
090460.KS,비에이치,KOSPI,naver_kospi,
006110.KS,삼아알미늄,KOSPI,naver_kospi,
298050.KS,HS효성첨단소재,KOSPI,naver_kospi,
005690.KS,파미셀,KOSPI,naver_kospi,
479080.KS,1Q 머니마켓액티브,KOSPI,naver_kospi,
000670.KS,영풍,KOSPI,naver_kospi,
137310.KS,에스디바이오센서,KOSPI,naver_kospi,
030190.KS,NICE평가정보,KOSPI,naver_kospi,
336370.KS,솔루스첨단소재,KOSPI,naver_kospi,
069660.KS,KIWOOM 200,KOSPI,naver_kospi,
214320.KS,이노션,KOSPI,naver_kospi,
005090.KS,SGC에너지,KOSPI,naver_kospi,
075580.KS,세진중공업,KOSPI,naver_kospi,
079900.KS,전진건설로봇,KOSPI,naver_kospi,
036530.KS,SNT홀딩스,KOSPI,naver_kospi,
071320.KS,지역난방공사,KOSPI,naver_kospi,
006340.KS,대원전선,KOSPI,naver_kospi,
484870.KS,엠앤씨솔루션,KOSPI,naver_kospi,
108320.KS,LX세미콘,KOSPI,naver_kospi,
006650.KS,대한유화,KOSPI,naver_kospi,
006120.KS,SK디스커버리,KOSPI,naver_kospi,
003160.KS,디아이,KOSPI,naver_kospi,
064960.KS,SNT모티브,KOSPI,naver_kospi,
009240.KS,한샘,KOSPI,naver_kospi,
010780.KS,아이에스동서,KOSPI,naver_kospi,
001510.KS,SK증권,KOSPI,naver_kospi,
285130.KS,SK케미칼,KOSPI,naver_kospi,
000370.KS,한화손해보험,KOSPI,naver_kospi,
033240.KS,자화전자,KOSPI,naver_kospi,
114090.KS,GKL,KOSPI,naver_kospi,
003850.KS,보령,KOSPI,naver_kospi,
490590.KS,RISE 미국AI밸류체인데일리고정커버드콜,KOSPI,naver_kospi,
079160.KS,CJ CGV,KOSPI,naver_kospi,
004490.KS,세방전지,KOSPI,naver_kospi,
025540.KS,한국단자,KOSPI,naver_kospi,
002350.KS,넥센타이어,KOSPI,naver_kospi,
178920.KS,PI첨단소재,KOSPI,naver_kospi,
100840.KS,SNT에너지,KOSPI,naver_kospi,
093050.KS,LF,KOSPI,naver_kospi,
002960.KS,한국쉘석유,KOSPI,naver_kospi,
002020.KS,코오롱,KOSPI,naver_kospi,
251600.KS,PLUS 고배당주채권혼합,KOSPI,naver_kospi,
315960.KS,RISE 대형고배당10TR,KOSPI,naver_kospi,
005880.KS,대한해운,KOSPI,naver_kospi,
007700.KS,F&F홀딩스,KOSPI,naver_kospi,
003620.KS,KG모빌리티,KOSPI,naver_kospi,
001680.KS,대상,KOSPI,naver_kospi,
001270.KS,부국증권,KOSPI,naver_kospi,
069260.KS,TKG휴켐스,KOSPI,naver_kospi,
008060.KS,대덕,KOSPI,naver_kospi,
014820.KS,동원시스템즈,KOSPI,naver_kospi,
005180.KS,빙그레,KOSPI,naver_kospi,
001570.KS,금양,KOSPI,naver_kospi,
