ticker,name,market,sector,source
007610.KS,선도전기,KOSPI,,naver_kospi
007660.KS,이수페타시스,KOSPI,,naver_kospi
007680.KQ,대원,KOSDAQ,,naver_kosdaq
007690.KS,국도화학,KOSPI,,naver_kospi
007700.KS,F&F홀딩스,KOSPI,,naver_kospi
007720.KQ,소노스퀘어,KOSDAQ,,naver_kosdaq
007770.KQ,한일화학,KOSDAQ,,naver_kosdaq
007810.KS,코리아써키트,KOSPI,,naver_kospi
007820.KQ,엠엑스로보틱스,KOSDAQ,,naver_kosdaq
007860.KS,서연,KOSPI,,naver_kospi
007980.KS,TP,KOSPI,,naver_kospi
008040.KS,사조동아원,KOSPI,,naver_kospi
008060.KS,대덕,KOSPI,,naver_kospi
008250.KS,이건산업,KOSPI,,naver_kospi
008260.KS,NI스틸,KOSPI,,naver_kospi
008290.KQ,원풍물산,KOSDAQ,,naver_kosdaq
008350.KS,남선알미늄,KOSPI,,naver_kospi
008370.KQ,원풍,KOSDAQ,,naver_kosdaq
008420.KS,문배철강,KOSPI,,naver_kospi
008470.KQ,부스타,KOSDAQ,,naver_kosdaq
008490.KS,서흥,KOSPI,,naver_kospi
008600.KS,윌비스,KOSPI,,naver_kospi
008700.KS,아남전자,KOSPI,,naver_kospi
008730.KS,율촌화학,KOSPI,,naver_kospi
008770.KS,호텔신라,KOSPI,,naver_kospi
008830.KQ,대동기어,KOSDAQ,,naver_kosdaq
008870.KS,금비,KOSPI,,naver_kospi
008930.KS,한미사이언스,KOSPI,,naver_kospi
008970.KS,KBI동양철관,KOSPI,,naver_kospi
009070.KS,KCTC,KOSPI,,naver_kospi
009140.KS,경인전자,KOSPI,,naver_kospi
009150.KS,삼성전기,KOSPI,,naver_kospi
009160.KS,SIMPAC,KOSPI,,naver_kospi
009180.KS,한솔로지스틱스,KOSPI,,naver_kospi
009190.KS,대양금속,KOSPI,,naver_kospi
009200.KS,무림페이퍼,KOSPI,,naver_kospi
009240.KS,한샘,KOSPI,,naver_kospi
009270.KS,신원,KOSPI,,naver_kospi
009290.KS,광동제약,KOSPI,,naver_kospi
009300.KQ,삼아제약,KOSDAQ,,naver_kosdaq
009310.KS,참엔지니어링,KOSPI,,naver_kospi
009320.KS,아진전자부품,KOSPI,,naver_kospi
009410.KS,태영건설,KOSPI,,naver_kospi
009420.KS,한올바이오파마,KOSPI,,naver_kospi
009440.KS,KC그린홀딩스,KOSPI,,naver_kospi
009450.KS,경동나비엔,KOSPI,,naver_kospi
009460.KS,한창제지,KOSPI,,naver_kospi
009470.KS,삼화전기,KOSPI,,naver_kospi
009520.KQ,포스코엠텍,KOSDAQ,,naver_kosdaq
009540.KS,HD한국조선해양,KOSPI,,naver_kospi
009580.KS,무림P&P,KOSPI,,naver_kospi
009620.KQ,삼보산업,KOSDAQ,,naver_kosdaq
009680.KS,모토닉,KOSPI,,naver_kospi
009730.KQ,이렘,KOSDAQ,,naver_kosdaq
009770.KS,삼정펄프,KOSPI,,naver_kospi
009780.KQ,엠에스씨,KOSDAQ,,naver_kosdaq
009810.KS,플레이그램,KOSPI,,naver_kospi
009830.KS,한화솔루션,KOSPI,,naver_kospi
009900.KS,명신산업,KOSPI,,naver_kospi
009970.KS,영원무역홀딩스,KOSPI,,naver_kospi
010040.KS,한국내화,KOSPI,,naver_kospi
010060.KS,OCI홀딩스,KOSPI,,naver_kospi
010100.KS,한국무브넥스,KOSPI,,naver_kospi
010120.KS,LS ELECTRIC,KOSPI,,naver_kospi
010130.KS,고려아연,KOSPI,,naver_kospi
010140.KS,삼성중공업,KOSPI,,naver_kospi
010170.KQ,대한광통신,KOSDAQ,,naver_kosdaq
010240.KQ,흥국,KOSDAQ,,naver_kosdaq
010280.KQ,아이티센엔텍,KOSDAQ,,naver_kosdaq
010400.KS,우진아이엔에스,KOSPI,,naver_kospi
010470.KQ,오리콤,KOSDAQ,,naver_kosdaq
010580.KS,에스엠벡셀,KOSPI,,naver_kospi
010640.KS,진양폴리,KOSPI,,naver_kospi
010660.KS,화천기계,KOSPI,,naver_kospi
010690.KS,화신,KOSPI,,naver_kospi
010770.KS,평화홀딩스,KOSPI,,naver_kospi
010780.KS,아이에스동서,KOSPI,,naver_kospi
010820.KS,퍼스텍,KOSPI,,naver_kospi
010950.KS,S-Oil,KOSPI,,naver_kospi
010960.KS,삼호개발,KOSPI,,naver_kospi
011000.KS,진원생명과학,KOSPI,,naver_kospi
011040.KQ,경동제약,KOSDAQ,,naver_kosdaq
011070.KS,LG이노텍,KOSPI,,naver_kospi
011080.KQ,형지I&C,KOSDAQ,,naver_kosdaq
011090.KS,에넥스,KOSPI,,naver_kospi
011150.KS,CJ씨푸드,KOSPI,,naver_kospi
011170.KS,롯데케미칼,KOSPI,,naver_kospi
011200.KS,HMM,KOSPI,,naver_kospi
011210.KS,현대위아,KOSPI,,naver_kospi
011230.KS,삼화전자,KOSPI,,naver_kospi
011280.KS,태림포장,KOSPI,,naver_kospi
011300.KS,우성머티리얼스,KOSPI,,naver_kospi
011320.KQ,유니크,KOSDAQ,,naver_kosdaq
011330.KS,유니켐,KOSPI,,naver_kospi
011370.KQ,서한,KOSDAQ,,naver_kosdaq
011390.KS,부산산업,KOSPI,,naver_kospi
011420.KS,갤럭시아에스엠,KOSPI,,naver_kospi
011500.KS,한농화성,KOSPI,,naver_kospi
011560.KQ,세보엠이씨,KOSDAQ,,naver_kosdaq
011690.KS,와이투솔루션,KOSPI,,naver_kospi
011700.KS,한신기계,KOSPI,,naver_kospi
011760.KS,현대코퍼레이션,KOSPI,,naver_kospi
011780.KS,금호석유화학,KOSPI,,naver_kospi
011790.KS,SKC,KOSPI,,naver_kospi
011810.KS,STX,KOSPI,,naver_kospi
011930.KS,신성이엔지,KOSPI,,naver_kospi
012030.KS,DB,KOSPI,,naver_kospi
012160.KS,영흥,KOSPI,,naver_kospi
012170.KS,아센디오,KOSPI,,naver_kospi
012200.KS,계양전기,KOSPI,,naver_kospi
012210.KQ,삼미금속,KOSDAQ,,naver_kosdaq
012280.KS,영화금속,KOSPI,,naver_kospi
012320.KS,경동인베스트,KOSPI,,naver_kospi
012330.KS,현대모비스,KOSPI,,naver_kospi
012340.KQ,뉴인텍,KOSDAQ,,naver_kosdaq
012450.KS,한화에어로스페이스,KOSPI,,naver_kospi
012510.KS,더존비즈온,KOSPI,,naver_kospi
012610.KS,경인양행,KOSPI,,naver_kospi
012620.KQ,원일특강,KOSDAQ,,naver_kosdaq
012630.KS,HDC,KOSPI,,naver_kospi
012690.KS,모나리자,KOSPI,,naver_kospi
012700.KQ,리드코프,KOSDAQ,,naver_kosdaq
012750.KS,에스원,KOSPI,,naver_kospi
012790.KQ,신일제약,KOSDAQ,,naver_kosdaq
012800.KS,대창,KOSPI,,naver_kospi
012860.KQ,모베이스전자,KOSDAQ,,naver_kosdaq
013000.KS,세우글로벌,KOSPI,,naver_kospi
013030.KQ,하이록코리아,KOSDAQ,,naver_kosdaq
013120.KQ,동원개발,KOSDAQ,,naver_kosdaq
013310.KQ,아진산업,KOSDAQ,,naver_kosdaq
013360.KS,일성건설,KOSPI,,naver_kospi
013520.KS,화승코퍼레이션,KOSPI,,naver_kospi
013570.KS,디와이,KOSPI,,naver_kospi
013580.KS,계룡건설,KOSPI,,naver_kospi
013700.KS,까뮤이앤씨,KOSPI,,naver_kospi
013720.KQ,THE CUBE&,KOSDAQ,,naver_kosdaq
013810.KQ,스페코,KOSDAQ,,naver_kosdaq
013870.KS,지엠비코리아,KOSPI,,naver_kospi
013890.KS,지누스,KOSPI,,naver_kospi
013990.KQ,아가방컴퍼니,KOSDAQ,,naver_kosdaq
014100.KQ,메디앙스,KOSDAQ,,naver_kosdaq
014130.KS,한익스프레스,KOSPI,,naver_kospi
014160.KS,대영포장,KOSPI,,naver_kospi
014190.KQ,원익큐브,KOSDAQ,,naver_kosdaq
