ticker,name,market,sector,source
ROK,Rockwell Automation,US,Industrials,sp500
ROL,"Rollins, Inc.",US,Industrials,sp500
ROP,Roper Technologies,US,Information Technology,nasdaq100;sp500
ROST,Ross Stores,US,Consumer Discretionary,nasdaq100;sp500
RSG,Republic Services,US,Industrials,sp500
RTX,RTX Corporation,US,Industrials,sp500
RVTY,Revvity,US,Health Care,sp500
SATS,EchoStar,US,Communication Services,sp500
SBAC,SBA Communications,US,Real Estate,sp500
SBUX,Starbucks,US,Consumer Discretionary,nasdaq100;sp500
SCHW,Charles Schwab Corporation,US,Financials,sp500
SHOP,Shopify,US,,nasdaq100
SHW,Sherwin-Williams,US,Materials,sp500
SJM,J.M. Smucker Company (The),US,Consumer Staples,sp500
SLB,Schlumberger,US,Energy,sp500
SMCI,Supermicro,US,Information Technology,sp500
SNA,Snap-on,US,Industrials,sp500
SNDK,Sandisk,US,Information Technology,nasdaq100;sp500
SNOW,Snowflake,US,Software,custom
SNPS,Synopsys,US,Information Technology,nasdaq100;sp500
SO,Southern Company,US,Utilities,sp500
SOLV,Solventum,US,Health Care,sp500
SPG,Simon Property Group,US,Real Estate,sp500
SPGI,S&P Global,US,Financials,sp500
SRE,Sempra,US,Utilities,sp500
STE,Steris,US,Health Care,sp500
STLD,Steel Dynamics,US,Materials,sp500
STT,State Street Corporation,US,Financials,sp500
STX,Seagate Technology,US,Information Technology,nasdaq100;sp500
STZ,Constellation Brands,US,Consumer Staples,sp500
SW,Smurfit Westrock,US,Materials,sp500
SWK,Stanley Black & Decker,US,Industrials,sp500
SWKS,Skyworks Solutions,US,Information Technology,sp500
SYF,Synchrony Financial,US,Financials,sp500
SYK,Stryker Corporation,US,Health Care,sp500
SYY,Sysco,US,Consumer Staples,sp500
T,AT&T,US,Communication Services,sp500
TAP,Molson Coors Beverage Company,US,Consumer Staples,sp500
TDG,TransDigm Group,US,Industrials,sp500
TDY,Teledyne Technologies,US,Information Technology,sp500
TEAM,Atlassian,US,Software,custom
TECH,Bio-Techne,US,Health Care,sp500
TEL,TE Connectivity,US,Information Technology,sp500
TER,Teradyne,US,Information Technology,sp500
TFC,Truist Financial,US,Financials,sp500
TGT,Target Corporation,US,Consumer Staples,sp500
TJX,TJX Companies,US,Consumer Discretionary,sp500
TKO,TKO Group Holdings,US,Communication Services,sp500
TMO,Thermo Fisher Scientific,US,Health Care,sp500
TMUS,T-Mobile US,US,Communication Services,nasdaq100;sp500
TPL,Texas Pacific Land Corporation,US,Energy,sp500
TPR,"Tapestry, Inc.",US,Consumer Discretionary,sp500
TRGP,Targa Resources,US,Energy,sp500
TRI,Thomson Reuters,US,,nasdaq100
TRMB,Trimble Inc.,US,Information Technology,sp500
TROW,T. Rowe Price,US,Financials,sp500
TRV,Travelers Companies (The),US,Financials,sp500
TSCO,Tractor Supply,US,Consumer Discretionary,sp500
TSLA,Tesla,US,EV,custom;nasdaq100;sp500
TSN,Tyson Foods,US,Consumer Staples,sp500
TT,Trane Technologies,US,Industrials,sp500
TTD,Trade Desk (The),US,Communication Services,sp500
TTWO,Take-Two Interactive,US,Communication Services,nasdaq100;sp500
TXN,Texas Instruments,US,Information Technology,nasdaq100;sp500
TXT,Textron,US,Industrials,sp500
TYL,Tyler Technologies,US,Information Technology,sp500
UAL,United Airlines Holdings,US,Industrials,sp500
UBER,Uber,US,Industrials,sp500
UDR,"UDR, Inc.",US,Real Estate,sp500
UHS,Universal Health Services,US,Health Care,sp500
ULTA,Ulta Beauty,US,Consumer Discretionary,sp500
UNH,UnitedHealth Group,US,Health Care,sp500
UNP,Union Pacific Corporation,US,Industrials,sp500
UPS,United Parcel Service,US,Industrials,sp500
URI,United Rentals,US,Industrials,sp500
USB,U.S. Bancorp,US,Financials,sp500
V,Visa Inc.,US,Financials,sp500
VEEV,Veeva Systems,US,Health Care,sp500
VICI,Vici Properties,US,Real Estate,sp500
VLO,Valero Energy,US,Energy,sp500
VLTO,Veralto,US,Industrials,sp500
VMC,Vulcan Materials Company,US,Materials,sp500
VRSK,Verisk Analytics,US,Industrials,nasdaq100;sp500
VRSN,Verisign,US,Information Technology,sp500
VRT,Vertiv,US,AI Infrastructure,custom;sp500
VRTX,Vertex Pharmaceuticals,US,Health Care,nasdaq100;sp500
VST,Vistra Corp.,US,Utilities,sp500
VTR,Ventas,US,Real Estate,sp500
VTRS,Viatris,US,Health Care,sp500
VZ,Verizon,US,Communication Services,sp500
WAB,Wabtec,US,Industrials,sp500
WAT,Waters Corporation,US,Health Care,sp500
WBD,Warner Bros. Discovery,US,Communication Services,nasdaq100;sp500
WDAY,"Workday, Inc.",US,Information Technology,nasdaq100;sp500
WDC,Western Digital,US,Information Technology,nasdaq100;sp500
WEC,WEC Energy Group,US,Utilities,sp500
WELL,Welltower,US,Real Estate,sp500
WFC,Wells Fargo,US,Financials,sp500
WM,Waste Management,US,Industrials,sp500
WMB,Williams Companies,US,Energy,sp500
WMT,Walmart,US,Consumer Staples,nasdaq100;sp500
WRB,W. R. Berkley Corporation,US,Financials,sp500
WSM,"Williams-Sonoma, Inc.",US,Consumer Discretionary,sp500
WST,West Pharmaceutical Services,US,Health Care,sp500
WTW,Willis Towers Watson,US,Financials,sp500
WY,Weyerhaeuser,US,Real Estate,sp500
WYNN,Wynn Resorts,US,Consumer Discretionary,sp500
XEL,Xcel Energy,US,Utilities,nasdaq100;sp500
XOM,ExxonMobil,US,Energy,sp500
XYL,Xylem Inc.,US,Industrials,sp500
XYZ,"Block, Inc.",US,Financials,sp500
YUM,Yum! Brands,US,Consumer Discretionary,sp500
ZBH,Zimmer Biomet,US,Health Care,sp500
ZBRA,Zebra Technologies,US,Information Technology,sp500
ZS,Zscaler,US,,nasdaq100
ZTS,Zoetis,US,Health Care,sp500
