ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,exit_reason,r_multiple,final_score,vcp_score,rs_rank,regime_state,position_size,pnl,sample
CIEN,2025-12-31,2026-01-02,2026-01-09,241.0,217.03428649902344,217.03428649902344,288.9314270019531,stop,-1.0161,50,79.36,93.0,neutral,45.78241365731472,-1114.86,IS
GOOGL,2025-12-31,2026-01-02,2026-01-15,316.4880203907529,332.347412109375,303.7203572249006,342.02334672245746,time,1.2025,55,83.54,81.0,neutral,34.8624939351266,535.24,IS
GOOG,2025-12-31,2026-01-02,2026-01-15,317.17550419534257,332.7252197265625,304.4720973516031,342.58231788282154,time,1.1841,52,82.97,80.0,neutral,34.7869288311038,523.27,IS
JNJ,2025-12-31,2026-01-02,2026-01-15,204.54996091774888,217.09361520002065,198.27813377661298,217.09361520002065,target,1.9478,50,70.29,71.0,neutral,53.94066878286781,658.96,IS
ASML,2026-02-24,2026-02-25,2026-02-26,1519.0820774956774,1428.702061351295,1428.702061351295,1699.842109784442,stop,-1.0269,61,78.17,84.0,neutral,7.308325769040628,-678.29,OOS
LRCX,2026-02-24,2026-02-25,2026-03-03,249.41526723216327,225.65905935409214,225.65905935409214,296.92768298830555,stop,-1.0168,62,75.33,93.0,neutral,44.51189702800111,-1075.2,OOS
GEV,2026-02-24,2026-02-25,2026-03-03,886.9701996504078,811.7385670848718,811.7385670848718,1037.43346478148,stop,-1.0189,62,78.38,89.0,neutral,12.516707660105348,-959.42,OOS
COHR,2026-04-08,2026-04-09,2026-04-22,286.3999938964844,350.4700012207031,238.63856288364957,381.922855922154,time,1.3319,57,72.76,93.0,neutral,37.81653877620663,2405.58,OOS
VRT,2026-04-08,2026-04-09,2026-04-22,280.9315288351361,305.0765380859375,248.1267785526694,346.5410294000694,time,0.7223,54,74.55,92.0,neutral,38.55265558693373,913.53,OOS
APH,2026-04-09,2026-04-10,2026-04-23,138.60089903635173,149.95376586914062,127.53646778254624,160.72976154396272,time,1.006,51,73.41,81.0,neutral,78.64693911282433,875.43,OOS
GEV,2026-04-14,2026-04-15,2026-04-23,984.5969153345445,1142.5119133855787,905.6394163090274,1142.5119133855787,target,1.98,64,73.11,88.0,neutral,11.30922172736495,1768.08,OOS
KLAC,2026-04-10,2026-04-13,2026-04-24,173.24289242830582,193.2533416748047,158.99093697112176,201.74680334267396,time,1.3846,58,76.02,83.0,neutral,63.30476420502142,1249.21,OOS
TER,2026-04-14,2026-04-15,2026-04-28,362.86295310924174,379.9864807128906,328.92147841052537,430.7459025066745,time,0.4874,60,72.07,92.0,neutral,30.6865849274111,507.65,OOS
AMAT,2026-04-14,2026-04-15,2026-04-28,388.72672933358473,380.63677978515625,355.5108828766875,455.1584222473792,time,-0.2623,60,74.08,87.0,neutral,28.644865370300916,-249.55,OOS
CAT,2026-04-14,2026-04-15,2026-04-28,785.6043037102696,817.8699951171875,736.7644568190447,883.2839974927194,time,0.6349,51,74.59,86.0,neutral,14.173833792672971,439.51,OOS
GLW,2026-04-24,2026-04-27,2026-04-28,176.03020601414613,158.95067145705772,158.95067145705772,210.18927512832295,stop,-1.0165,55,80.19,89.0,neutral,68.80212360275692,-1194.49,OOS
WDC,2026-04-15,2026-04-16,2026-04-29,362.4155272448113,412.6524353027344,319.011128936695,449.22432386104384,time,1.1441,58,74.38,98.0,neutral,30.505507461767923,1514.81,OOS
GOOGL,2026-04-24,2026-04-27,2026-04-30,345.77347673538645,377.51168188201245,329.90437416207345,377.51168188201245,target,1.9651,51,74.18,78.0,neutral,35.02655005916647,1092.3,OOS
GOOG,2026-04-24,2026-04-27,2026-04-30,343.6731704622599,374.54604126102487,328.2367350628775,374.54604126102487,target,1.9644,50,71.69,77.0,neutral,35.24060948870034,1068.6,OOS
CIEN,2026-04-17,2026-04-20,2026-05-01,512.0,535.2899780273438,443.9200090680804,648.1599818638392,time,0.3301,59,76.97,96.0,neutral,17.933292956348797,402.98,OOS
VRT,2026-04-22,2026-04-23,2026-05-06,304.1367376128728,355.04842569980707,278.6808935694057,355.04842569980707,target,1.9809,65,77.6,91.0,neutral,38.53931068844167,1943.35,OOS
COHR,2026-04-27,2026-04-28,2026-05-11,304.5,379.69000244140625,259.32285853794644,394.8542829241071,time,1.6536,50,71.58,92.0,neutral,37.89451611173416,2830.83,OOS
AMD,2026-06-22,2026-06-23,2026-07-01,509.0799865722656,551.135009765625,435.7842668805804,655.6714259556361,time,0.5627,63,74.52,89.0,neutral,24.332987484619558,1003.5,OOS
ANET,2026-06-25,2026-06-26,2026-07-01,159.94000244140625,167.30499267578125,142.8647199358259,194.09056745256697,time,0.4163,61,75.35,70.0,neutral,77.61361584344576,551.76,OOS
