run_date,market_region,universe_mode,ticker,name,entry_price,target1_price,target2_price,stop_price,data_quality,liquidity_warning,risk_reward_warning,days_after,tracking_date,close_price,return_pct,max_return_pct,min_return_pct,hit_target1,hit_target2,hit_stop,first_hit,status,next_open_price,next_open_gap_pct
2026-07-12,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,6.0,2026-07-21,75400.0,-2.8351,6.5722,-6.0567,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-12,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,5.0,2026-07-20,74400.0,-4.1237,6.5722,-4.768,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-12,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,4.0,2026-07-16,79000.0,1.8041,6.5722,-0.7732,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-12,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,3.0,2026-07-15,78500.0,1.1598,6.5722,-0.7732,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-12,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,2.0,2026-07-14,77300.0,-0.3866,6.5722,-0.7732,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-12,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,1.0,2026-07-13,79900.0,2.9639,6.5722,-0.7732,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-12,kr,kospi_kosdaq,379780.KS,RISE 미국S&P500,24500.0,24935.84,25185.0,24151.33,good,,,10.0,2026-07-27,23800.0,-2.8571,0.5714,-4.2653,0.0,0.0,1.0,stop_first,completed,24500.0,0.0
2026-07-12,kr,kospi_kosdaq,379780.KS,RISE 미국S&P500,24500.0,24935.84,25185.0,24151.33,good,,,9.0,2026-07-24,23520.0,-4.0,0.5714,-4.2653,0.0,0.0,1.0,stop_first,tracking,24500.0,0.0
2026-07-12,kr,kospi_kosdaq,379780.KS,RISE 미국S&P500,24500.0,24935.84,25185.0,24151.33,good,,,8.0,2026-07-23,23785.0,-2.9184,0.5714,-3.0408,0.0,0.0,1.0,stop_first,tracking,24500.0,0.0
2026-07-12,kr,kospi_kosdaq,379780.KS,RISE 미국S&P500,24500.0,24935.84,25185.0,24151.33,good,,,7.0,2026-07-22,24005.0,-2.0204,0.5714,-2.9592,0.0,0.0,1.0,stop_first,tracking,24500.0,0.0
2026-07-12,kr,kospi_kosdaq,379780.KS,RISE 미국S&P500,24500.0,24935.84,25185.0,24151.33,good,,,6.0,2026-07-21,23845.0,-2.6735,0.5714,-2.9592,0.0,0.0,1.0,stop_first,tracking,24500.0,0.0
2026-07-12,kr,kospi_kosdaq,379780.KS,RISE 미국S&P500,24500.0,24935.84,25185.0,24151.33,good,,,5.0,2026-07-20,23865.0,-2.5918,0.5714,-2.6327,0.0,0.0,1.0,stop_first,tracking,24500.0,0.0
2026-07-12,kr,kospi_kosdaq,379780.KS,RISE 미국S&P500,24500.0,24935.84,25185.0,24151.33,good,,,4.0,2026-07-16,24270.0,-0.9388,0.5714,-1.5714,0.0,0.0,1.0,stop_first,tracking,24500.0,0.0
2026-07-12,kr,kospi_kosdaq,379780.KS,RISE 미국S&P500,24500.0,24935.84,25185.0,24151.33,good,,,3.0,2026-07-15,24340.0,-0.6531,0.5714,-1.5714,0.0,0.0,1.0,stop_first,tracking,24500.0,0.0
2026-07-12,kr,kospi_kosdaq,379780.KS,RISE 미국S&P500,24500.0,24935.84,25185.0,24151.33,good,,,2.0,2026-07-14,24315.0,-0.7551,0.5714,-1.5714,0.0,0.0,1.0,stop_first,tracking,24500.0,0.0
2026-07-12,kr,kospi_kosdaq,379780.KS,RISE 미국S&P500,24500.0,24935.84,25185.0,24151.33,good,,,1.0,2026-07-13,24555.0,0.2245,0.5714,-0.0408,0.0,0.0,0.0,none,tracking,24500.0,0.0
